dataTime,Temperature (ºC),Relative_Humidity (prc),Precipitation (mm),Solar_Radiation (W/m2),Wind_direction (º),Wind_Speed (Km/h),
22:25:00,17.81739896,39.84861649,0,2.358240588,84.09728491,6.628851476,
22:30:00,16.66624351,40.91640784,0,1.693031667,84.90691373,6.926045019,
22:35:00,17.96562245,39.2546917,0,1.266584667,85.0416601,7.089987165,
22:40:00,17.59050777,39.98099621,0,2.57543989,83.95141552,7.61574968,
22:45:00,16.55768264,39.33353535,0,2.730164227,84.14854627,7.265851509,
22:50:00,17.07114502,40.87245597,0,1.984996805,84.95111492,7.984566347,
22:55:00,17.84897068,39.39631631,0,1.162418072,84.44972149,6.79853364,
23:00:00,15.750529,47,0,0,137.48955,9.565437,
23:05:00,14.94143052,47.63923205,0,0,138.1266051,9.362348323,
23:10:00,14.90547095,47.3493863,0,0,137.1806122,8.78052357,
23:15:00,15.52183256,47.43644816,0,0,138.4277052,9.412263368,
23:20:00,15.91774683,46.20655671,0,0,137.4838404,9.810485485,
23:25:00,16.39219749,46.20441722,0,0,137.6455099,9.497417246,
23:30:00,15.18224294,47.34658932,0,0,137.879532,8.741659638,
23:35:00,15.26095208,47.61318873,0,0,137.8077248,9.831755651,
23:40:00,14.81662057,47.88436432,0,0,137.4504532,9.772162907,
23:45:00,15.42097701,47.0437776,0,0,138.0603994,8.61743332,
23:50:00,14.76532743,46.10882526,0,0,138.0954227,10.4026097,
23:55:00,16.21438839,47.23240805,0,0,136.6623578,10.28542384,
00:00:00,17.8738993,59,0,0,100.49147,15.111424,
00:05:00,17.27228731,58.9977593,0,0,101.3206204,15.60775297,
00:10:00,16.69051493,58.04785018,0,0,101.1866341,14.79009667,
00:15:00,16.6457413,59.74973835,0,0,100.5554903,14.52049872,
00:20:00,18.51498461,58.55013871,0,0,100.6018008,14.7748228,
00:25:00,19.48020035,58.13944848,0,0,100.9391196,14.50544509,
00:30:00,19.47056574,59.0282121,0,0,101.4137348,15.53760148,
00:35:00,17.51132157,59.29489741,0,0,101.0682744,15.21493506,
00:40:00,16.6087573,59.87874683,0,0,101.2268796,14.26378092,
00:45:00,16.89337704,59.07600368,0,0,101.2771383,15.37305588,
00:50:00,17.72720048,59.1042207,0,0,101.4404781,15.599943,
00:55:00,17.78038963,59.71392848,0,0,99.83145775,15.03273792,
01:00:00,15.3068993,63,0,0,92.48955,16.575644,
01:05:00,15.09541318,63.68494749,0,0,91.90142581,17.39422559,
01:10:00,14.57367608,63.05030794,0,0,93.06417731,17.05129561,
01:15:00,15.98776724,62.28734981,0,0,93.48600877,16.31426792,
01:20:00,15.07450278,63.33391014,0,0,91.67054352,15.58789927,
01:25:00,14.0835304,62.38135049,0,0,93.04280351,16.80983902,
01:30:00,15.39104628,62.50737457,0,0,92.42952905,16.76770273,
01:35:00,16.84388882,62.38289224,0,0,92.74552892,15.70681165,
01:40:00,14.07477441,62.68300393,0,0,93.1625501,15.62370488,
01:45:00,15.26362172,63.92380213,0,0,91.58547563,16.8502402,
01:50:00,16.0286619,62.37454335,0,0,92.98273916,16.45859219,
01:55:00,15.25094544,63.08220483,0,0,92.99499751,15.697439,
02:00:00,12.96090015,67,0,0,94.398705,18.775301,
02:05:00,14.33715569,67.77112184,0,0,94.03004233,19.04829922,
02:10:00,11.90833012,66.41995873,0,0,94.3871717,19.12616292,
02:15:00,11.88179055,66.8214407,0,0,93.84907409,18.94071619,
02:20:00,13.34119687,66.46464593,0,0,93.53782059,18.77925255,
02:25:00,13.03109835,66.61516877,0,0,94.46071826,18.91730505,
02:30:00,13.11741626,67.28815329,0,0,94.81271655,19.70145941,
02:35:00,11.90594183,66.39736927,0,0,94.68899458,19.05089168,
02:40:00,13.96340912,67.57177809,0,0,94.88644709,19.69325506,
